event_id,origin_id,stage,parent_origin_id,time,lat,lon,depth,mag,magnitude_type,rms,gap,n_picks,erh,erz,method
eslv2026djtgk3kq,ohdd2026q363v4vc,hypodd,ohyp202632fwt3pv,2024-01-19T02:32:50.990000Z,13.95242,-89.729736,1.889,1.7333,MLc,0.086,276,7,0.0796,0.1279,
eslv2026gcvnmkoq,ohdd2026qxmurzai,hypodd,ohyp2026f7wde7je,2024-01-19T02:34:07.389999Z,13.886461,-89.750456,5.815,1.6305,MLc,0.123,150,12,0.0337,0.0389,
eslv20263j5dkab6,ohdd2026yiywxxiz,hypodd,ohyp2026nvzeytdc,2024-01-19T02:42:12.750000Z,13.888721,-89.747518,4.828,1.0185,MLc,0.125,163,6,0.0262,0.0222,
eslv2026s4nk7sqh,ohdd2026dcfhbuen,hypodd,ohyp2026m4zqi5dm,2024-01-19T02:43:40.560000Z,13.885503,-89.751693,4.915,1.224,MLc,0.16,165,8,0.0291,0.0246,
eslv2026rwfudgny,ohdd2026swa5jtup,hypodd,ohyp2026vgq6uqhs,2024-01-19T02:47:57.079999Z,13.882399,-89.754395,5.223,1.1237,MLc,0.309,224,8,0.0357,0.043,
eslv2026z5lbvakv,ohdd2026it7uny6e,hypodd,ohyp2026qievsisk,2024-01-19T02:53:44.469999Z,13.835438,-89.777905,2.859,1.0966,MLc,0.135,214,6,0.0313,0.0263,
eslv2026bmrjk6h3,ohdd2026y5i6tx5s,hypodd,ohyp2026pjj2wrlu,2024-01-19T03:15:38.380000Z,13.886661,-89.751685,5.811,1.6999,MLc,0.17,153,13,0.0368,0.0416,
eslv2026pp6mh3kr,ohdd2026cmdv4pv7,hypodd,ohyp2026z4taoc3o,2024-01-19T06:33:06.650000Z,13.882364,-89.757845,5.343,0.3422,MLc,0.156,193,10,0.0232,0.0358,
eslv2026jihu4z2e,ohdd2026nmn62sp4,hypodd,ohyp2026itkzbjvb,2024-01-19T06:35:45.329999Z,13.883231,-89.75542,6.148,0.5797,MLc,0.134,210,11,0.0235,0.0225,
eslv2026bwruhyh6,ohdd2026cgp2d4jb,hypodd,ohyp2026wcla2cay,2024-01-19T06:44:10.949999Z,13.883321,-89.757381,6.007,0.8485,MLc,0.145,186,14,0.0227,0.0219,
eslv2026urdlpxoa,ohdd2026hjqs5atc,hypodd,ohyp2026klxfthpw,2024-01-19T06:45:27.399999Z,13.880955,-89.757292,6.018,0.5442,MLc,0.169,198,10,0.0339,0.0345,
eslv20263ldj46cf,ohdd2026garobkez,hypodd,ohyp2026p2os63lg,2024-01-19T07:11:15.960000Z,13.883463,-89.748885,8.239,0.8976,MLc,0.222,211,7,0.0337,0.0264,
eslv202622fcqh7q,ohdd202663k6klhp,hypodd,ohyp2026o3aghrbc,2024-01-19T08:50:10.730000Z,13.876227,-89.758691,5.13,0.5139,MLc,0.14,228,9,0.0306,0.023,
eslv2026brtmgrh5,ohdd2026jseohpym,hypodd,ohyp2026hmc6m4wo,2024-01-19T10:05:08.230000Z,13.832299,-89.771769,5.225,0.7256,MLc,0.484,262,6,0.0555,0.0553,
eslv2026q5lk3v7u,ohdd2026yfcj24i7,hypodd,ohyp20263xqndlnr,2024-01-19T10:28:40.659999Z,13.827806,-89.772046,4.676,0.7757,MLc,0.466,265,6,0.0493,0.0654,
eslv2026kioocljc,ohdd2026wkz2kmt5,hypodd,ohyp2026zpvp7m64,2024-01-19T11:53:52.719999Z,13.879468,-89.75887,5.757,1.0221,MLc,0.131,189,11,0.025,0.0269,
eslv2026ii7crsl7,ohdd2026aj4kxxqf,hypodd,ohyp20262b2s2gky,2024-01-19T21:47:20.839999Z,13.947406,-89.677026,0.007,1.5288,MLc,0.305,157,6,1.9466,3.0402,
eslv2026iusx6iri,ohdd20264hwrsxur,hypodd,ohyp20265pbkswi4,2024-01-20T09:31:36.579999Z,14.115843,-89.73064,11.17,1.7585,MLc,0.185,288,14,0.4304,0.4013,
eslv20265x5p4ojg,ohdd2026xb6crkqp,hypodd,ohyp2026225lsqtf,2024-01-20T10:44:25.679999Z,13.88262,-89.752336,0.064,0.0807,MLc,0.186,204,7,0.0148,0.0218,
eslv2026o7kn64qg,ohdd2026bpqb3t6r,hypodd,ohyp2026bwkhn2zq,2024-01-21T07:31:20.469999Z,13.887199,-89.753337,7.44,2.7207,MLc,0.276,103,19,0.0352,0.0366,
eslv2026mddjdhlo,ohdd2026s7uask3j,hypodd,ohyp2026vobhzn6x,2024-01-21T07:34:37.719999Z,13.884004,-89.753898,5.655,1.749,MLc,0.194,186,17,0.0231,0.0174,
eslv20262hpy746v,ohdd2026ieoe7hsq,hypodd,ohyp2026xitdslxt,2024-01-24T02:34:30.989999Z,13.934069,-89.652686,0.527,0.3673,MLc,0.396,274,6,0.4852,0.6772,
eslv2026gfczbk5y,ohdd2026psfzyb2u,hypodd,ohyp2026xflioxfs,2024-01-26T03:23:25.219999Z,13.854173,-89.679492,9.384,0.8625,MLc,0.11,160,9,0.0299,0.0266,
eslv2026zfdtvjaq,ohdd2026oiht2767,hypodd,ohyp2026zxt7e5n2,2024-01-26T04:14:03.450000Z,13.906135,-89.725553,7.613,0.5851,MLc,0.175,223,6,0.0367,0.0319,
eslv2026shjck43r,ohdd2026oxiyhgar,hypodd,ohyp2026zgyn72fk,2024-01-26T06:38:13.199999Z,13.882075,-89.736515,11.408,0.8485,MLc,0.163,160,9,0.0344,0.0423,
eslv2026ak2znd5z,ohdd2026w4ldmv2d,hypodd,ohyp20264xvu7x6f,2024-01-26T07:53:37.630000Z,13.882899,-89.733561,7.445,0.4179,MLc,0.14,161,9,0.0265,0.0226,
eslv2026yevtrzie,ohdd2026wtze7eqq,hypodd,ohyp2026d6st34ry,2024-01-26T08:12:33.750000Z,13.775316,-89.425814,11.816,1.7137,MLc,0.233,144,12,0.3075,0.4636,
